data/id,data/name,data/color,position/x,position/z,data/insf,group,selected
162,Couple,jul,soi,#db008b,edges
163,Couple,leo,col,#db008b,edges
164,Couple,gui,fee,#db008b,edges
165,Couple,arn,mir,#db008b,edges
166,Couple,juli,cod,#db008b,edges
167,Couple,bap,ama,#db008b,edges
168,Couple,ale,lea,#db008b,edges
169,Couple,ben,cec,#db008b,edges
170,Couple,eli,steb,#db008b,edges
171,Couple,jun,stec,#db008b,edges
172,Couple,ach,adr,#db008b,edges
173,Couple,mor,art,#db008b,edges
174,Couple,tif,maxdu,#db008b,edges
175,Couple,emi,maxde,#db008b,edges
176,Couple,jen,nick,#db008b,edges
180,Couple,mar,mat,#db008b,edges
181,EX,per,nicl,#db008b,edges
182,Couple,clep,maru,#db008b,edges
183,Couple,gau,ken,#db008b,edges
184,Couple,flo,eth,#db008b,edges
184,Couple,jus,vincl,#db008b,edges

184,Other,nick,ale,#E8A109,edges





  {
    "data":{
      "id":"1",
      "name":"1518",
      "source":"hor",
      "target":"flo",
      "color":"#E8A109"
    },
    "group":"edges",
  }


  {
    "data":{
      "id":"soiz",
      "name":"Soizic",
      "color":"#A2224F"
    },
    "position":{
      "x":1000,
      "y":400
    },
    "group":"nodes",
    "selected":false
  },

